Provinsi/Kabupaten/Kota / Indonesia,
,Indeks Pembangunan Manusia Menurut Kabupaten/Kota
,2012
ACEH,72.51
SIMEULUE,70.09
ACEH SINGKIL,69.37
ACEH SELATAN,70.71
ACEH TENGGARA,72.25
ACEH TIMUR,71.17
ACEH TENGAH,74.42
ACEH BARAT,71.73
ACEH BESAR,74.13
PIDIE,72.81
BIREUEN,73.7
ACEH UTARA,73.07
ACEH BARAT DAYA,71.53
GAYO LUES,68.54
ACEH TAMIANG,71.65
NAGAN RAYA,70.64
ACEH JAYA,70.35
BENER MERIAH,71.86
PIDIE JAYA,73.13
KOTA BANDA ACEH,78.5
KOTA SABANG,76.88
KOTA LANGSA,74.75
KOTA LHOKSEUMAWE,77.23
KOTA SUBULUSSALAM,70.06
SUMATERA UTARA,75.13
NIAS,69.55
MANDAILING NATAL,71.44
TAPANULI SELATAN,74.78
TAPANULI TENGAH,72.04
TAPANULI UTARA,75.33
TOBA SAMOSIR,77.21
LABUHAN BATU,75.29
ASAHAN,73.8
SIMALUNGUN,74.35
DAIRI,73.86
KARO,76.22
DELI SERDANG,76.17
LANGKAT,73.98
NIAS SELATAN,68.23
HUMBANG HASUNDUTAN,72.8
PAKPAK BHARAT,72
SAMOSIR,74.72
SERDANG BEDAGAI,74.07
BATU BARA,72.71
PADANG LAWAS UTARA,73.59
PADANG LAWAS,72.96
LABUHAN BATU SELATAN,74.9
LABUHAN BATU UTARA,74.92
NIAS UTARA,68.71
NIAS BARAT,67.59
KOTA SIBOLGA,75.73
KOTA TANJUNG BALAI,75.06
KOTA PEMATANG SIANTAR,78.27
KOTA TEBING TINGGI,77.34
KOTA MEDAN,78.25
KOTA BINJAI,77.36
KOTA PADANGSIDIMPUAN,76.04
KOTA GUNUNGSITOLI,72.61
SUMATERA BARAT,74.7
KEPULAUAN MENTAWAI,69.26
PESISIR SELATAN,72.43
SOLOK,72.15
SIJUNJUNG,71.8
TANAH DATAR,75
PADANG PARIAMAN,72.53
AGAM,74.11
LIMA PULUH KOTA,72.24
PASAMAN,73.78
SOLOK SELATAN,69.69
DHARMAS RAYA,70.25
PASAMAN BARAT,71.07
KOTA PADANG,78.55
KOTA SOLOK,76.54
KOTA SAWAH LUNTO,75.87
KOTA PADANG PANJANG,78.51
KOTA BUKITTINGGI,79.07
KOTA PAYAKUMBUH,76.76
KOTA PARIAMAN,75.23
RIAU,76.9
KUANTAN SINGINGI,74.5
INDRAGIRI HULU,74.9
INDRAGIRI HILIR,76.15
PELALAWAN,73.92
SIAK,77.27
KAMPAR,75.54
ROKAN HULU,73.62
BENGKALIS,75.86
ROKAN HILIR,73.17
KEPULAUAN MERANTI,71.47
KOTA PEKANBARU,79.16
KOTA DUMAI,78.73
JAMBI,73.78
KERINCI,75.11
MERANGIN,72.85
SAROLANGUN,73.61
BATANG HARI,73.83
MUARO JAMBI,73.59
TANJUNG JABUNG TIMUR,72.52
TANJUNG JABUNG BARAT,73.7
TEBO,72.69
BUNGO,73.05
KOTA JAMBI,77.08
KOTA SUNGAI PENUH,77.63
SUMATERA SELATAN,73.99
OGAN KOMERING ULU,74.01
OGAN KOMERING ILIR,71.45
MUARA ENIM,71.65
LAHAT,72.29
MUSI RAWAS,69.01
MUSI BANYUASIN,73.15
BANYU ASIN,70.7
OGAN KOMERING ULU SELATAN,72.29
OGAN KOMERING ULU TIMUR,70.72
OGAN ILIR,70.52
EMPAT LAWANG,69.69
PENUKAL ABAB LEMATANG ILIR,-
MUSI RAWAS UTARA,-
KOTA PALEMBANG,77.38
KOTA PRABUMULIH,75.45
KOTA PAGAR ALAM,74.15
KOTA LUBUKLINGGAU,71.46
BENGKULU,73.93
BENGKULU SELATAN,73.18
REJANG LEBONG,72.21
BENGKULU UTARA,72.74
KAUR,71.13
SELUMA,67.69
MUKOMUKO,71.53
LEBONG,71.12
KEPAHIANG,69.41
BENGKULU TENGAH,69.35
KOTA BENGKULU,78.51
LAMPUNG,72.45
LAMPUNG BARAT,70.17
TANGGAMUS,72.32
LAMPUNG SELATAN,70.95
LAMPUNG TIMUR,71.64
LAMPUNG TENGAH,71.81
LAMPUNG UTARA,71.28
WAY KANAN,70.84
TULANGBAWANG,71.6
PESAWARAN,70.9
PRINGSEWU,72.8
MESUJI,68.3
TULANGBAWANG BARAT,69.82
PESISIR BARAT,-
KOTA BANDAR LAMPUNG,76.83
KOTA METRO,77.3
KEP. BANGKA BELITUNG,73.78
BANGKA,73.67
BELITUNG,74.13
BANGKA BARAT,70.94
BANGKA TENGAH,72.27
BANGKA SELATAN,67.73
BELITUNG TIMUR,72.87
KOTA PANGKAL PINANG,76.85
KEP. RIAU,76.2
KARIMUN,74.45
BINTAN,75.68
NATUNA,71.77
LINGGA,72.09
KEPULAUAN ANAMBAS,70.11
KOTA BATAM,78.46
KOTA TANJUNG PINANG,75.97
DKI JAKARTA,78.33
KEPULAUAN SERIBU,71.45
KODYA JAKARTA SELATAN,80.17
KODYA JAKARTA TIMUR,79.8
