Provinsi/Kabupaten/Kota / Indonesia,
,Indeks Pembangunan Manusia Menurut Kabupaten/Kota
KOTA BOGOR,76.08
KOTA SUKABUMI,75.36
KOTA BANDUNG,76.39
KOTA CIREBON,75.42
KOTA BEKASI,76.68
KOTA DEPOK,79.36
KOTA CIMAHI,76.01
KOTA TASIKMALAYA,74.85
KOTA BANJAR,71.82
JAWA TENGAH,72.94
CILACAP,72.34
BANYUMAS,72.96
PURBALINGGA,72.5
BANJARNEGARA,70.39
KEBUMEN,71.62
PURWOREJO,72.91
WONOSOBO,71.06
MAGELANG,72.69
BOYOLALI,71.25
KLATEN,74.1
SUKOHARJO,73.97
WONOGIRI,71.86
KARANGANYAR,73.82
SRAGEN,71.33
GROBOGAN,71.27
BLORA,71.25
REMBANG,72.45
PATI,73.49
KUDUS,73.24
JEPARA,73.12
DEMAK,73.09
SEMARANG,74.45
TEMANGGUNG,74.47
KENDAL,70.85
BATANG,71.06
PEKALONGAN,71.86
PEMALANG,70.22
TEGAL,71.09
BREBES,68.61
KOTA MAGELANG,76.83
KOTA SURAKARTA,78.18
KOTA SALATIGA,76.83
KOTA SEMARANG,77.42
KOTA PEKALONGAN,74.9
KOTA TEGAL,74.2
DI YOGYAKARTA,76.32
KULON PROGO,75.04
BANTUL,75.05
GUNUNG KIDUL,70.84
SLEMAN,78.79
KOTA YOGYAKARTA,79.89
JAWA TIMUR,72.18
PACITAN,72.48
PONOROGO,71.15
TRENGGALEK,73.66
TULUNGAGUNG,73.76
BLITAR,74.06
KEDIRI,72.28
MALANG,71.17
LUMAJANG,68.55
JEMBER,65.53
BANYUWANGI,69.58
BONDOWOSO,63.81
SITUBONDO,64.67
PROBOLINGGO,63.84
PASURUAN,68.24
SIDOARJO,76.9
MOJOKERTO,73.89
JOMBANG,73.14
NGANJUK,71.48
MADIUN,70.5
MAGETAN,73.17
NGAWI,69.73
BOJONEGORO,67.32
TUBAN,68.71
LAMONGAN,70.52
GRESIK,75.17
BANGKALAN,65.01
SAMPANG,60.78
PAMEKASAN,65.48
SUMENEP,66.01
KOTA KEDIRI,76.79
KOTA BLITAR,77.89
KOTA MALANG,77.76
